id,response,model,lang
1779902697497338112,"NIE WIEDER darf es so sein, dass man, wie gerade in #Innsbruck, den eigenen Auszug der Wählerevidenz nur via Handy und mit #DigitaleID einsehen kann! Kein Aushang! Alte Menschen überfordert. Datenschutz. Und: Technikausfall!
ID Austria seit Tagen kaputt https://t.co/B5UqWAmpJ3",human,de
1780213468311777536,"@128_0_0_1 @KdRkitten Sowas wie Datenschutz kennste, oder? 
Nur weil der Postbote deine Adresse hat, darf er trotzdem nicht einfach irgendwelche Zettel mit solchen Nachrichten in deinen Briefkasten werfen oder einfach so uneingeladen vor deiner Tür stehen.",human,de
1780189302384926976,The feminine urge to post selfies on twt because you put on makeup but then Datenschutz,human,de
1779883379955020288,Was für eine großartige Entscheidung! @louisa_specht soll neue Bundesbeauftragte für den Datenschutz werden! Eine überaus sympathische und vor allem kompetente und pragmatische Frau. Sie wird dem Standort Deutschland guttun!  https://t.co/cDmFLiQWUN,human,de
1780172628398842112,"#Innovation durch #Datenschutz: #Anonymisierung kann sensible #Daten für die Forschung zugänglich machen. Wie das rechtskonform geht, diskutiert der Kongress des BMBF-geförderten Forschungsnetzwerks Anonymisierung.
Livestream:
🕘 9:00 Uhr
16./17.4.
https://t.co/82u4z1vA9t https://t.co/F8vxpX0coC",human,de
1780212776654230016,"Der sogenannte “ermöglichende Datenschutz” ist ohnehin seit Jahren gesetzlicher Auftrag und schon seit langem die gelebte Praxis der allermeisten Datenschutzkolleginnen und -kollegen. Nennt sich auch einfach, und weniger verhetzend, konstruktive Beratung. #Datenschutz",human,de
1779887768518144512,"Hochschulprofessorin Louisa Specht-Riemenschneider wird neue Bundesbeauftragte für den Datenschutz und die Informationsfreiheit (#BfDI)! 

Regierung einigt sich: Bonner Professorin wird neue #Datenschutzbeauftragte
https://t.co/Sok9zAeA3i",human,de
1780238915925873152,"aktueller Beitrag zum Thema Datenschutz-Folgenabschätzung #DSFA im ""entwickler magazin 4/24"" (S. 7) https://t.co/yH8oxbGoTL",human,de
1778124516423561728,Website ist gelöscht. Muss mich erst nochmal informieren wegen Datenschutz und dem Gedöns. Wollte es eigentlich unkompliziert.,human,de
1778884943298351104,"Jetzt ist es nur noch eine Frage der Zeit, bis die #Bezahlkarte für #Arbeitslose und #Rentner in #Grundsicherung eingeführt wird, damit jeder beim Einkaufen sehen kann, wer Transferleistung bezieht. 
Datenschutz ade, #Diskriminierung willkommen. 
https://t.co/Qkxy6xmjew",human,de
1778845763721691136,"Wir alle sind #Terroristen.

Oder werden wir von unseren Bediensteten Staatsdienern nur so behandelt? Warum lassen wir uns das gefallen?

#datenschutz
#AmpelDesGrauens https://t.co/9PN4ZM57WX",human,de
1780142057559884288,Louisa Specht-Riemenschneider: Bonner Professorin wird neue #Bundesdatenschutzbeauftragte - https://t.co/ltf7I90jDz #datenschutz,human,de
1779790380285792768,"Inhalte? Datenschutz? China?
- alles egal. https://t.co/uJG9gPLVKu",human,de
